circuitId,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driverId,constructorId,grid,milliseconds,statusId,circuit_country,constructor_position,constructor_wins,constructor_nationality,driver_nationality,driver_wins,driver_age,results_positionOrder
1.7461774881986365,1.0,0.0,0.0,0.0,0.0,-0.8751170293711185,-0.5199917799815266,3,0.20363081895384766,1,22,1.0,-0.31064213943229896,0.07228308168307951,33,-0.31064213943229896,0.25,2
-0.22757727782078874,0.0,0.0,0.0,0.0,0.0,-0.4712460341705809,-0.8029255924493444,11,0.9999999999999999,0,19,7.0,-0.31064213943229896,0.28934804677154763,10,-0.31064213943229896,0.29166666666666674,9
0.5148270033765121,0.0,0.0,1.0,0.0,0.0,0.020913875180277326,0.12487229280268601,15,0.9999999999999999,0,11,7.0,-0.31064213943229896,0.07228308168307951,33,-0.31064213943229896,0.41666666666666674,16
0.0914982088772118,1.0,0.0,0.0,0.0,0.0,0.49725844913098594,0.7997527005207834,10,0.9999999999999999,0,34,9.0,-0.31064213943229896,0.07228308168307951,7,-0.31064213943229896,0.625,19
-0.22757727782078874,1.0,0.0,0.0,0.0,0.0,-1.2858897220898475,-1.9059699843231652,7,0.9999999999999999,0,19,5.0,-0.31064213943229896,-1.7557484839385071,11,-0.31064213943229896,0.33333333333333326,11
0.37584092592433693,1.0,0.0,0.0,0.0,1.0,0.603932867569773,-0.7137931717898527,4,0.9999999999999999,0,8,4.0,-0.31064213943229896,-0.22795529190819774,14,-0.31064213943229896,0.5416666666666667,21
0.48407777047477824,1.0,0.0,0.0,0.0,0.0,2.47860867391229,-1.2197986957684384,7,0.9999999999999999,0,14,5.0,-0.31064213943229896,-0.22795529190819774,14,-0.31064213943229896,0.5416666666666667,24
-0.3007630336173391,0.0,0.0,0.0,0.0,0.0,1.2548670523271137,1.2956268380511413,20,0.9999999999999999,0,3,15.0,-0.31064213943229896,0.07228308168307951,3,-0.31064213943229896,0.41666666666666674,8
-0.22757727782078874,0.0,0.0,1.0,1.0,0.0,-1.714678962569774,-1.3490673621738667,0,0.9999999999999999,0,19,3.0,0.5925433583518642,-3.5901957232693857,39,0.5925433583518642,0.04166666666666674,18
0.38690008824339506,0.0,0.0,0.0,1.0,0.0,-0.39527216975019946,0.7997527005207834,4,0.9999999999999999,0,27,6.0,-0.31064213943229896,0.07228308168307951,3,-0.31064213943229896,0.5416666666666667,6
0.48407777047477824,1.0,0.0,0.0,0.0,0.0,-0.4712460341705809,-0.30525093856081564,3,0.14668605057134668,1,14,4.0,-0.31064213943229896,-0.876232075268927,10,-0.31064213943229896,0.125,6
-0.2414260959952727,1.0,0.0,1.0,0.0,0.0,0.1700049300724531,0.01657057969435632,16,0.17765811707069282,1,11,7.0,-0.31064213943229896,0.10795056289101088,33,-0.31064213943229896,0.6666666666666667,7
-1.303209519437401,0.0,0.0,0.0,1.0,0.0,0.47740542271490777,0.8443248023051181,17,0.9999999999999999,0,17,10.0,-0.31064213943229896,-0.22795529190819774,12,-0.31064213943229896,0.25,16
-0.22925358107398858,0.0,0.0,1.0,0.0,0.0,0.4786167725746925,0.3716975023912296,8,0.9999999999999999,0,21,12.0,-0.31064213943229896,0.9149078396408067,40,-0.31064213943229896,0.5416666666666667,11
-0.5772211313861157,0.0,0.0,0.0,0.0,0.0,-0.7755762439964096,0.01657057969435632,8,0.9999999999999999,0,13,6.0,-0.31064213943229896,0.10795056289101088,18,-0.31064213943229896,0.20833333333333337,24
0.2778392191411063,0.0,0.0,1.0,0.0,0.0,-0.06416733549979001,0.9162577580599445,8,0.9999999999999999,0,33,21.0,-0.31064213943229896,0.07228308168307951,33,-0.31064213943229896,0.75,4
-0.22757727782078874,0.0,0.0,1.0,0.0,0.0,-0.2582430960560887,0.7811015377008217,0,0.9999999999999999,0,19,10.0,-0.31064213943229896,0.07228308168307951,30,-0.31064213943229896,0.875,22
-0.7094003464222046,0.0,0.0,1.0,0.0,0.0,-1.6955100883983156,-1.9059699843231652,24,0.1683220285948403,1,6,4.0,-0.31064213943229896,-1.7557484839385071,11,-0.31064213943229896,1.0,5
1.8598714978043396,1.0,0.0,0.0,0.0,0.0,3.121490618008751,2.396184268247794,0,0.9999999999999999,0,7,20.0,-0.31064213943229896,0.07228308168307951,6,-0.31064213943229896,0.375,38
-1.4918975827020877,0.0,0.0,0.0,0.0,0.0,-1.033157373344285,-1.2197986957684384,8,0.20599486708634804,1,32,2.0,-0.31064213943229896,-0.22795529190819774,7,-0.31064213943229896,0.5833333333333333,7
1.950138373105355,0.0,0.0,0.0,1.0,0.0,0.6593897902146383,1.0912227038054507,33,0.9999999999999999,0,34,21.0,-0.31064213943229896,1.9854538091127731,34,-0.31064213943229896,0.75,18
0.37584092592433693,0.0,0.0,0.0,0.0,1.0,1.1676128600197673,-0.5199917799815266,13,0.9999999999999999,0,8,4.0,-0.31064213943229896,0.07228308168307951,42,-0.31064213943229896,0.5,7
1.419744868644745,1.0,0.0,0.0,0.0,0.0,1.9348520081255007,1.5572697436013616,26,0.9999999999999999,0,34,7.0,-0.31064213943229896,-0.22795529190819774,35,-0.31064213943229896,0.41666666666666674,25
0.48407777047477824,0.0,0.0,1.0,0.0,0.0,-0.16748000515831715,0.2625946554575706,21,0.9999999999999999,0,14,7.0,-0.31064213943229896,0.28934804677154763,10,-0.31064213943229896,0.875,22
-0.7094003464222046,1.0,0.0,0.0,0.0,0.0,0.05924853496312898,-0.3738043561181253,12,0.9999999999999999,0,6,3.0,-0.31064213943229896,0.07228308168307951,34,-0.31064213943229896,0.5,10
