raceId,year,circuitId,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driverId,constructorId,grid,results_positionOrder,circuit_country,constructor_wins,constructor_nationality,driver_nationality,driver_wins,driver_age,Unnamed: 0,qualifying_position,q1_time_ms,q2_time_ms,q3_time_ms,results_points
989,2018,-0.1895057179584339,1.0,0.0,0.0,0.0,0.0,0.9676135869987333,0.3353288605389491,10,5,2,-0.32510469363312444,-0.24425608780064,28,-0.32510469363312444,0.95,7510,11.0,8897.0,8992.0,27352.0,10.0
991,2018,0.5979591340445405,1.0,0.0,0.0,0.0,0.0,0.9676135869987333,0.3353288605389491,13,7,9,-0.32510469363312444,-0.24425608780064,28,-0.32510469363312444,0.95,7563,13.0,9728.0,9532.0,27352.0,6.0
990,2018,0.5175657547047658,1.0,0.0,0.0,0.0,0.0,0.9676135869987333,0.3353288605389491,13,7,5,-0.32510469363312444,-0.24425608780064,28,-0.32510469363312444,0.95,7532,13.0,9530.0,9212.0,27352.0,6.0
993,2018,-0.15030112744030025,0.0,0.0,0.0,0.0,1.0,0.9676135869987333,0.3353288605389491,8,8,28,-0.32510469363312444,-0.24425608780064,28,-0.32510469363312444,0.95,7597,8.0,8076.0,7900.0,8421.0,4.0
994,2018,0.015550846333984144,0.0,0.0,0.0,0.0,1.0,0.9676135869987333,0.3353288605389491,7,20,19,-0.32510469363312444,-0.24425608780064,28,-0.32510469363312444,0.95,7619,7.0,7857.0,7469.0,7310.0,0.0
998,2018,-0.24496233572859885,1.0,0.0,0.0,0.0,0.0,0.9676135869987333,0.3353288605389491,13,8,33,-0.32510469363312444,-0.24425608780064,28,-0.32510469363312444,0.95,7696,13.0,8987.0,8939.0,27352.0,4.0
1000,2018,0.0990921520234939,1.0,0.0,0.0,0.0,0.0,0.9676135869987333,0.3353288605389491,11,8,12,-0.32510469363312444,-0.24425608780064,28,-0.32510469363312444,1.0,7739,11.0,8008.0,9714.0,27352.0,4.0
1001,2018,0.12457265773136317,0.0,0.0,0.0,0.0,1.0,0.9676135869987333,0.3353288605389491,15,19,6,-0.32510469363312444,-0.24425608780064,28,-0.32510469363312444,1.0,7758,17.0,11317.0,27578.0,27352.0,0.0
1002,2018,0.11913893547465763,0.0,0.0,0.0,0.0,1.0,0.9676135869987333,0.3353288605389491,13,18,14,-0.32510469363312444,-0.24425608780064,28,-0.32510469363312444,1.0,7772,13.0,8950.0,8768.0,27352.0,0.0
1003,2018,1.3397699770252784,1.0,0.0,0.0,0.0,0.0,0.9676135869987333,0.3353288605389491,11,7,26,-0.32510469363312444,-0.24425608780064,28,-0.32510469363312444,1.0,7795,11.0,9922.0,10441.0,27352.0,6.0
1005,2018,0.0167281389785979,1.0,0.0,0.0,0.0,0.0,0.9676135869987333,0.3353288605389491,18,14,15,-0.32510469363312444,-0.24425608780064,28,-0.32510469363312444,1.0,7838,18.0,9573.0,27578.0,27352.0,0.0
1008,2018,-0.31208767471901755,0.0,0.0,0.0,0.0,1.0,0.9676135869987333,0.3353288605389491,17,17,7,-0.32510469363312444,-0.24425608780064,28,-0.32510469363312444,1.0,7894,18.0,7302.0,27578.0,27352.0,0.0
1009,2018,1.517865065648031,0.0,0.0,0.0,0.0,1.0,0.9676135869987333,0.3353288605389491,15,11,32,-0.32510469363312444,-0.24425608780064,28,-0.32510469363312444,1.0,7908,15.0,10590.0,10443.0,27352.0,0.0
995,2018,0.0579101455010459,0.0,0.0,0.0,0.0,0.0,0.9676135869987333,0.3353288605389491,14,18,8,-0.32510469363312444,-0.24425608780064,28,-0.32510469363312444,0.95,7630,14.0,8179.0,8056.0,27352.0,0.0
999,2018,-0.5579006706483937,0.0,0.0,0.0,1.0,1.0,0.9676135869987333,0.3353288605389491,11,16,11,-0.32510469363312444,-0.24425608780064,28,-0.32510469363312444,0.95,7718,11.0,7914.0,7957.0,27352.0,0.0
997,2018,1.0380731081789227,1.0,0.0,0.0,0.0,0.0,0.9676135869987333,0.3353288605389491,13,8,3,-0.32510469363312444,-0.24425608780064,28,-0.32510469363312444,0.95,7679,14.0,7365.0,6558.0,27352.0,4.0
1007,2018,2.613914058303458,0.0,0.0,0.0,0.0,1.0,0.9676135869987333,0.3353288605389491,12,20,18,-0.32510469363312444,-0.24425608780064,28,-0.32510469363312444,1.0,7883,12.0,8457.0,8471.0,27352.0,0.0
996,2018,1.229290699324443,1.0,0.0,1.0,0.0,0.0,0.9676135869987333,0.3353288605389491,16,16,10,-0.32510469363312444,-0.24425608780064,28,-0.32510469363312444,0.95,7653,16.0,10176.0,27578.0,27352.0,0.0
1006,2018,2.286832822014212,1.0,0.0,0.0,0.0,0.0,0.9676135869987333,0.3353288605389491,13,18,34,-0.32510469363312444,-0.24425608780064,28,-0.32510469363312444,1.0,7863,16.0,9794.0,27578.0,27352.0,0.0
1004,2018,2.460212484767925,0.0,0.0,0.0,0.0,1.0,0.9676135869987333,0.3353288605389491,16,14,24,-0.32510469363312444,-0.24425608780064,28,-0.32510469363312444,1.0,7822,17.0,10004.0,27578.0,27352.0,0.0
992,2018,2.3197490341955587,0.0,0.0,0.0,0.0,1.0,0.9676135869987333,0.3353288605389491,12,7,4,-0.32510469363312444,-0.24425608780064,28,-0.32510469363312444,0.95,7583,13.0,10410.0,10419.0,27352.0,6.0
989,2018,-0.1895057179584339,1.0,0.0,0.0,0.0,0.0,3.0602105162399194,2.904284015210982,1,2,2,-0.32510469363312444,2.6179637574946355,33,-0.32510469363312444,0.8,7525,1.0,9024.0,8251.0,8264.0,18.0
