raceId,year,circuitId,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driverId,constructorId,grid,results_positionOrder,milliseconds,statusId,circuit_country,constructor_points,constructor_position,constructor_wins,constructor_nationality,driver_nationality,driver_points,driver_wins,driver_age,Unnamed: 0,qualifying_position,q1_time_ms,q2_time_ms,q3_time_ms,results_points
989,2018,-0.1895057179584339,1.0,0.0,0.0,0.0,0.0,0.9676135869987333,0.3353288605389491,10,5,0.045536501341275126,1,2,-0.4711548722678188,4.0,-0.32510469363312444,-0.24425608780064,28,-0.3764685950691147,-0.32510469363312444,0.95,7510,11.0,8897.0,8992.0,27352.0,10.0
991,2018,0.5979591340445405,1.0,0.0,0.0,0.0,0.0,0.9676135869987333,0.3353288605389491,13,7,0.06003468467947223,1,9,-0.3160115437467636,4.0,-0.32510469363312444,-0.24425608780064,28,-0.15120425017706635,-0.32510469363312444,0.95,7563,13.0,9728.0,9532.0,27352.0,6.0
990,2018,0.5175657547047658,1.0,0.0,0.0,0.0,0.0,0.9676135869987333,0.3353288605389491,13,7,1.0,0,5,-0.3741902919421593,3.0,-0.32510469363312444,-0.24425608780064,28,-0.2638364226230905,-0.32510469363312444,0.95,7532,13.0,9530.0,9212.0,27352.0,6.0
993,2018,-0.15030112744030025,0.0,0.0,0.0,0.0,1.0,0.9676135869987333,0.3353288605389491,8,8,1.0,0,28,-0.19965404735597214,5.0,-0.32510469363312444,-0.24425608780064,28,0.03651603723297392,-0.32510469363312444,0.95,7597,8.0,8076.0,7900.0,8421.0,4.0
994,2018,0.015550846333984144,0.0,0.0,0.0,0.0,1.0,0.9676135869987333,0.3353288605389491,7,20,1.0,0,19,-0.19965404735597214,5.0,-0.32510469363312444,-0.24425608780064,28,0.03651603723297392,-0.32510469363312444,0.95,7619,7.0,7857.0,7469.0,7310.0,0.0
998,2018,-0.24496233572859885,1.0,0.0,0.0,0.0,0.0,0.9676135869987333,0.3353288605389491,13,8,0.04077034988552833,1,33,-0.12208238309544453,7.0,-0.32510469363312444,-0.24425608780064,28,0.18669226716100612,-0.32510469363312444,0.95,7696,13.0,8987.0,8939.0,27352.0,4.0
1000,2018,0.0990921520234939,1.0,0.0,0.0,0.0,0.0,0.9676135869987333,0.3353288605389491,11,8,1.0,0,12,-0.08329655096518072,7.0,-0.32510469363312444,-0.24425608780064,28,0.26178038212502225,-0.32510469363312444,1.0,7739,11.0,8008.0,9714.0,27352.0,4.0
1001,2018,0.12457265773136317,0.0,0.0,0.0,0.0,1.0,0.9676135869987333,0.3353288605389491,15,19,1.0,0,6,-0.08329655096518072,6.0,-0.32510469363312444,-0.24425608780064,28,0.26178038212502225,-0.32510469363312444,1.0,7758,17.0,11317.0,27578.0,27352.0,0.0
1002,2018,0.11913893547465763,0.0,0.0,0.0,0.0,1.0,0.9676135869987333,0.3353288605389491,13,18,1.0,0,14,-0.08329655096518072,6.0,-0.32510469363312444,-0.24425608780064,28,0.26178038212502225,-0.32510469363312444,1.0,7772,13.0,8950.0,8768.0,27352.0,0.0
1003,2018,1.3397699770252784,1.0,0.0,0.0,0.0,0.0,0.9676135869987333,0.3353288605389491,11,7,0.09996434996383474,1,26,-0.02511780276978501,6.0,-0.32510469363312444,-0.24425608780064,28,0.3744125545710464,-0.32510469363312444,1.0,7795,11.0,9922.0,10441.0,27352.0,6.0
1005,2018,0.0167281389785979,1.0,0.0,0.0,0.0,0.0,0.9676135869987333,0.3353288605389491,18,14,1.0,0,15,-0.02511780276978501,6.0,-0.32510469363312444,-0.24425608780064,28,0.3744125545710464,-0.32510469363312444,1.0,7838,18.0,9573.0,27578.0,27352.0,0.0
1008,2018,-0.31208767471901755,0.0,0.0,0.0,0.0,1.0,0.9676135869987333,0.3353288605389491,17,17,1.0,0,7,0.013668029360478798,6.0,-0.32510469363312444,-0.24425608780064,28,0.3744125545710464,-0.32510469363312444,1.0,7894,18.0,7302.0,27578.0,27352.0,0.0
1009,2018,1.517865065648031,0.0,0.0,0.0,0.0,1.0,0.9676135869987333,0.3353288605389491,15,11,1.0,0,32,0.013668029360478798,6.0,-0.32510469363312444,-0.24425608780064,28,0.3744125545710464,-0.32510469363312444,1.0,7908,15.0,10590.0,10443.0,27352.0,0.0
995,2018,0.0579101455010459,0.0,0.0,0.0,0.0,0.0,0.9676135869987333,0.3353288605389491,14,18,1.0,0,8,-0.19965404735597214,5.0,-0.32510469363312444,-0.24425608780064,28,0.03651603723297392,-0.32510469363312444,0.95,7630,14.0,8179.0,8056.0,27352.0,0.0
999,2018,-0.5579006706483937,0.0,0.0,0.0,1.0,1.0,0.9676135869987333,0.3353288605389491,11,16,1.0,0,11,-0.12208238309544453,7.0,-0.32510469363312444,-0.24425608780064,28,0.18669226716100612,-0.32510469363312444,0.95,7718,11.0,7914.0,7957.0,27352.0,0.0
997,2018,1.0380731081789227,1.0,0.0,0.0,0.0,0.0,0.9676135869987333,0.3353288605389491,13,8,1.0,0,3,-0.16086821522570835,6.0,-0.32510469363312444,-0.24425608780064,28,0.11160415219699002,-0.32510469363312444,0.95,7679,14.0,7365.0,6558.0,27352.0,4.0
1007,2018,2.613914058303458,0.0,0.0,0.0,0.0,1.0,0.9676135869987333,0.3353288605389491,12,20,1.0,0,18,0.013668029360478798,6.0,-0.32510469363312444,-0.24425608780064,28,0.3744125545710464,-0.32510469363312444,1.0,7883,12.0,8457.0,8471.0,27352.0,0.0
